Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/10:15:17:35 1473902495 2519 2071 2179 15909
2016/02/10:17:04:31 1473902495 2519 2071 2179 17945
2016/02/10:18:29:20 1473902495 2519 2071 2180 17945
2016/02/10:22:28:10 1473902495 2519 2071 2179 23336
2016/02/11:07:46:15 1473902495 2519 2071 2180 23210
2016/02/11:09:36:30 1473902495 2519 2071 2180 18165
2016/02/11:10:03:10 1473902495 2519 2071 2179 18165
2016/02/11:11:53:44 1473902495 2519 2071 2180 18208
2016/02/11:12:03:09 1473902495 2519 2071 2180 18208
2016/02/11:12:09:53 1473902495 2519 2071 2180 18208
2016/02/11:12:54:36 1473902495 2519 2071 2180 18932
2016/02/11:14:07:49 1473902495 2519 2071 2180 18932
2016/02/11:15:27:06 1473902495 2519 2071 2179 20009
2016/02/11:17:13:07 1473902495 2519 2071 2179 23296
2016/02/11:19:01:29 1473902495 2519 2071 2179 23300
2016/02/11:22:06:37 1473902495 2519 2071 2180 29610
2016/02/12:07:33:35 1473902495 2519 2071 2179 44389
2016/02/12:09:22:51 1473902495 2519 2071 2180 55351
2016/02/13:12:45:36 1473902495 2519 2117 2179 92590
2016/02/13:13:28:59 1473902495 2519 2117 2180 88304
2016/02/13:13:37:15 1473902495 2519 2139 2180 88304
2016/02/13:15:22:41 1473902495 2519 2139 2180 87449
2016/02/18:17:20:19 1473902495 2519 2139 2179 14621
2016/02/18:18:06:28 1473902495 2519 2118 2179 14622
2016/02/18:19:14:17 1473902495 2519 2118 2179 14716
2016/02/18:20:42:58 1473902495 2519 2118 2179 14718
2016/02/18:21:45:02 1473902495 2519 2118 2179 19408
2016/02/18:22:42:40 1473902495 2519 2118 2179 19408
2016/02/19:07:50:56 1473902495 2519 2118 2179 30016
2016/02/19:09:36:52 1473902495 2519 2118 2179 30030
2016/02/19:11:28:14 1473902495 2519 2118 2179 31940
2016/02/19:13:05:36 1473902495 2519 2118 2179 31940
2016/02/19:15:02:31 1473902495 2519 2118 2179 36359
2016/02/19:16:52:19 1473902495 2519 2118 2179 36359
2016/02/19:17:24:49 1473902495 2519 2118 2179 15216
2016/02/19:17:41:15 1473902495 2519 2140 2179 15216
2016/02/19:19:30:43 1473902495 2519 2140 2179 15216
2016/02/19:20:27:47 1473902495 2519 2139 2179 15532
2016/02/19:22:13:21 1473902495 2519 2139 2179 20831
2016/02/20:02:01:58 1473902495 2519 2139 2179 24398
2016/02/20:06:09:32 1473902495 2519 2118 2180 18561
2016/02/20:09:18:11 1473902495 2519 2118 2180 22228
2016/02/20:10:35:35 1473902495 2519 2118 2180 22231
2016/02/20:11:14:53 1473902495 2519 2118 2179 22677
2016/02/20:12:07:59 1473902495 2519 2118 2179 22677
2016/02/20:13:06:00 1473902495 2519 2118 2179 22677
2016/02/20:14:27:31 1473902495 2519 2139 2179 23118
2016/02/20:15:38:31 1473902495 2519 2139 2179 23118
2016/02/20:16:52:51 1473902495 2519 2139 2179 26100
2016/02/20:18:47:49 1473902495 2519 2118 2180 33528
2016/02/20:19:39:23 1473902495 2519 2118 2180 30182
2016/02/20:21:20:22 1473902495 2519 2118 2179 42810
2016/02/20:21:43:57 1473902495 2519 2118 2179 42810
2016/02/21:02:24:56 1473902495 2519 2118 2180 56750
2016/02/21:09:45:31 1473902495 2519 2118 2180 63977
2016/02/21:10:52:44 1473902495 2519 2118 2180 63977
2016/02/21:11:43:44 1473902495 2519 2118 2180 60396
2016/02/21:14:13:44 1473902495 2519 2118 2180 56667
2016/02/21:14:59:15 1473902495 2519 2118 2180 56667
2016/02/21:17:20:51 1473902495 2519 2118 2180 59885
2016/02/21:17:44:54 1473902495 2519 2118 2180 59885
2016/02/21:18:15:21 1473902495 2519 2118 2180 59931
2016/02/21:20:15:03 1473902495 2519 2118 2180 58129
2016/02/21:22:02:36 1473902495 2519 2118 2180 71081
2016/02/21:22:26:54 1473902495 2519 2118 2180 71081
2016/02/21:23:37:36 1473902495 2519 2118 2180 70037
2016/02/22:07:49:17 1473902495 2519 2118 2180 111634
2016/02/22:09:52:47 1473902495 2519 2118 2180 108614
2016/02/22:11:03:54 1473902495 2519 2118 2180 111164
2016/02/22:12:01:37 1473902495 2519 2118 2180 111164
2016/02/22:15:22:09 1473902495 2519 2118 2180 107026
2016/02/22:16:44:51 1473902495 2519 2118 2180 107075
2016/02/23:09:32:58 1473902495 2519 2139 2180 60994
2016/02/23:10:59:17 1473902495 2519 2139 2180 70441
2016/02/23:12:02:11 1473902495 2519 2139 2180 67402
2016/02/23:13:52:43 1473902495 2519 2118 2180 65511
2016/02/23:15:08:15 1473902495 2519 2118 2180 64900
2016/02/23:16:07:01 1473902495 2519 2118 2180 64900
2016/02/23:17:27:39 1473902495 2519 2098 2180 69328
2016/02/24:09:16:41 1473902495 2519 2098 2178 37617
2016/02/24:11:15:07 1473902495 2519 2098 2178 42166
2016/02/24:11:19:25 1473902495 2519 2098 2178 42166
2016/02/24:13:09:40 1473902495 2519 2098 2178 42806
2016/02/24:14:14:00 1473902495 2519 2098 2177 42826
2016/02/24:16:49:21 1473902495 2519 2098 2176 42826
2016/02/24:19:42:16 1473902495 2519 2098 2176 53459
2016/02/24:21:10:43 1473902495 2519 2098 2176 24509
2016/02/24:22:43:43 1473902495 2519 2098 2176 24509
2016/02/24:23:06:34 1473902495 2519 2098 2176 24509
2016/02/25:08:07:10 1473902495 2519 2108 2176 26004
2016/02/25:09:00:39 1473902495 2519 2108 2175 26004
2016/02/25:10:10:44 1473902495 2519 2108 2174 27332
2016/02/25:11:35:52 1473902495 2519 2108 2174 28535
2016/02/25:15:20:43 1473902495 2519 2108 2172 35430
2016/02/25:16:53:08 1473902495 2519 2108 2172 16173
2016/02/25:19:02:58 1473902495 2519 2108 2170 16174
2016/02/25:21:35:29 1473902495 2519 2108 2169 22737
2016/02/25:22:32:36 1473902495 2519 2088 2168 22737
2016/02/26:07:31:59 1473902495 2519 2088 2164 49330
2016/02/26:08:48:51 1473902495 2519 2088 2164 49341
2016/02/26:09:51:20 1473902495 2519 2088 2163 49341
2016/02/26:10:52:34 1473902495 2519 2088 2162 46077
2016/02/26:13:21:03 1473902495 2519 2088 2162 47914
2016/02/26:15:29:36 1473902495 2519 2088 2160 16693
2016/02/26:19:53:45 1473902495 2519 2088 2160 21967
2016/02/26:22:49:14 1473902495 2519 2088 2156 14328
2016/02/26:23:51:46 1473902495 2519 2088 2155 14328
2016/02/27:08:09:31 1473902495 2519 2088 2152 28013
2016/02/27:09:40:37 1473902495 2519 2088 2150 30189
2016/02/27:10:41:04 1473902495 2519 2088 2150 30196
2016/02/27:12:20:14 1473902495 2519 2088 2149 30236
2016/02/27:14:25:35 1473902495 2519 2088 2149 30949
2016/02/27:16:32:33 1473902495 2519 2088 2149 31972
2016/02/27:17:07:52 1473902495 2519 2088 2149 31974
2016/02/27:17:49:37 1473902495 2519 2088 2149 31974
2016/02/27:19:43:43 1473902495 2519 2088 2149 38666
2016/02/27:23:56:24 1473902495 2519 2088 2149 57117
2016/02/28:00:28:08 1473902495 2519 2088 2149 57117
2016/02/28:03:42:33 1473902495 2519 2088 2149 69854
2016/02/28:10:27:07 1473902495 2519 2088 2149 26505
2016/02/28:11:14:58 1473902495 2519 2088 2149 26508
2016/02/28:13:17:59 1473902495 2519 2088 2149 27102
2016/02/28:17:22:25 1473902495 2519 2088 2149 37165
2016/02/28:19:34:12 1473902495 2519 2088 2149 46675
2016/02/28:20:49:06 1473902495 2519 2088 2149 46744
2016/02/28:22:20:37 1473902495 2519 2088 2149 60561
2016/02/28:23:00:28 1473902495 2519 2088 2149 60745
2016/02/29:09:26:31 1473902495 2519 2088 2146 92962
2016/02/29:10:34:31 1473902495 2519 2088 2144 88934
2016/02/29:11:56:19 1473902495 2519 2088 2143 88967
2016/02/29:12:25:22 1473902495 2519 2088 2142 88434
2016/02/29:12:44:40 1473902495 2519 2088 2142 88434
2016/02/29:13:48:23 1473902495 2519 2088 2140 88529
2016/02/29:15:24:42 1473902495 2519 2088 2139 83634
2016/02/29:15:46:07 1473902495 2519 2088 2138 83634
2016/02/29:16:20:43 1473902495 2519 2088 2138 83634
2016/03/01:02:14:34 1473902495 2519 2088 2133 113313
2016/03/01:09:30:55 1473902495 2519 2088 2129 136873
2016/03/01:11:55:20 1473902495 2519 2088 2183 138707
2016/03/01:14:52:34 1473902495 2519 2071 2181 136214
2016/03/01:15:18:05 1473902495 2519 2071 2181 136448
2016/03/01:18:41:31 1473902495 2519 2071 2178 139886
2016/03/01:20:02:07 1473902495 2519 2071 2179 139950
2016/03/01:21:01:00 1473902495 2519 2071 2178 10778
2016/03/01:21:53:05 1473902495 2519 2071 2177 11480
