Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/11:12:12:46 1861563892 0 3685 3700 381804
2016/02/11:12:57:29 1861563892 0 3685 3700 381053
2016/02/11:14:10:42 1861563892 0 3685 3700 381053
2016/02/11:15:31:30 1861563892 0 3685 3700 381164
2016/02/11:17:16:00 1861563892 0 3685 3700 383068
2016/02/11:19:04:22 1861563892 0 3685 3700 383154
2016/02/11:22:09:38 1861563892 0 3685 3700 388248
2016/02/12:07:36:28 1861563892 0 3685 3700 396419
2016/02/13:12:48:40 1861563892 0 3685 3700 407025
2016/02/13:13:32:02 1861563892 0 3685 3700 404428
2016/02/13:13:40:19 1861563892 0 3685 3700 404428
2016/02/13:15:25:46 1861563892 0 3685 3700 403272
2016/02/18:17:23:22 1861563892 0 3685 3588 443103
2016/02/18:18:09:31 1861563892 0 3685 3587 443206
2016/02/18:19:17:20 1861563892 0 3685 3587 442700
2016/02/18:20:46:01 1861563892 0 3685 3587 442838
2016/02/18:21:48:05 1861563892 0 3685 3587 447643
2016/02/18:22:45:43 1861563892 0 3685 3587 447786
2016/02/19:07:53:59 1861563892 0 3685 3587 454614
2016/02/19:09:39:56 1861563892 0 3685 3587 457279
2016/02/19:11:31:30 1861563892 0 3685 3587 455253
2016/02/19:13:08:39 1861563892 0 3685 3587 454178
2016/02/19:15:05:37 1861563892 0 3685 3587 454178
2016/02/19:16:55:23 1861563892 0 3685 3587 453787
2016/02/19:17:27:52 1861563892 0 3685 3587 455413
2016/02/19:17:44:19 1861563892 0 3685 3587 455413
2016/02/19:19:33:46 1861563892 0 3685 3587 454068
2016/02/19:20:30:54 1861563892 0 3685 3587 454068
2016/02/19:22:16:24 1861563892 0 3685 3587 458580
2016/02/20:02:05:01 1861563892 0 3685 3587 461488
2016/02/20:06:12:36 1861563892 0 3685 3588 468093
2016/02/20:09:21:14 1861563892 0 3685 3588 469775
2016/02/20:10:38:38 1861563892 0 3685 3588 470105
2016/02/20:11:17:56 1861563892 0 3685 3587 469087
2016/02/20:12:11:02 1861563892 0 3685 3587 469087
2016/02/20:13:09:04 1861563892 0 3685 3587 467585
2016/02/20:14:30:35 1861563892 0 3685 3587 467636
2016/02/20:15:41:34 1861563892 0 3685 3588 466743
2016/02/20:16:55:55 1861563892 0 3685 3588 466771
2016/02/20:18:50:52 1861563892 0 3685 3588 467266
2016/02/20:19:42:26 1861563892 0 3685 3588 465221
2016/02/20:21:23:25 1861563892 0 3685 3588 468575
2016/02/20:21:47:00 1861563892 0 3685 3588 468575
2016/02/21:02:27:59 1861563892 0 3685 3588 473542
2016/02/21:09:48:34 1861563892 0 3685 3588 479369
2016/02/21:10:55:47 1861563892 0 3685 3588 479369
2016/02/21:11:46:47 1861563892 0 3685 3588 477996
2016/02/21:14:16:47 1861563892 0 3685 3588 476513
2016/02/21:15:02:18 1861563892 0 3685 3588 475045
2016/02/21:17:23:55 1861563892 0 3685 3587 475069
2016/02/21:17:47:57 1861563892 0 3685 3587 475570
2016/02/21:18:18:25 1861563892 0 3685 3587 475616
2016/02/21:20:18:06 1861563892 0 3685 3587 473566
2016/02/21:22:29:56 1861563892 0 3685 3587 476327
2016/02/21:23:40:40 1861563892 0 3685 3587 474080
