Time: ISBN: Retail-Price: Lowest-New-Price: Lowest-Used-Price: Sales-Rank 
2016/02/10:15:16:53 0198527632 2718 2349 2657 472530
2016/02/10:17:03:49 0198527632 2718 2349 2657 471886
2016/02/10:18:28:37 0198527632 2718 2349 2656 471987
2016/02/10:22:27:28 0198527632 2718 2349 2655 475764
2016/02/11:07:45:33 0198527632 2718 2349 2653 489924
2016/02/11:09:35:48 0198527632 2718 2349 2707 489924
2016/02/11:10:02:27 0198527632 2718 2349 2707 497537
2016/02/11:11:53:01 0198527632 2718 2349 2707 496471
2016/02/11:12:02:26 0198527632 2718 2349 2707 496471
2016/02/11:12:09:11 0198527632 2718 2349 2707 496471
2016/02/11:12:53:54 0198527632 2718 2349 2707 495994
2016/02/11:14:07:07 0198527632 2718 2349 2707 495994
2016/02/11:15:26:24 0198527632 2718 2349 2707 495799
2016/02/11:17:12:24 0198527632 2718 2349 2707 496736
2016/02/11:19:00:47 0198527632 2718 2349 2707 496823
2016/02/11:22:05:55 0198527632 2718 2349 2707 499634
2016/02/12:07:32:52 0198527632 2718 2349 2707 508068
2016/02/12:09:22:09 0198527632 2718 2349 2706 512985
2016/02/13:12:44:50 0198527632 2718 2349 2692 525070
2016/02/13:13:28:12 0198527632 2718 2349 2692 524217
2016/02/13:13:36:29 0198527632 2718 2349 2692 524217
2016/02/13:15:21:55 0198527632 2718 2349 2692 524628
2016/02/18:17:19:32 0198527632 2718 2349 2673 357924
2016/02/18:18:05:42 0198527632 2718 2349 2673 357924
2016/02/18:19:13:30 0198527632 2718 2349 2673 359584
2016/02/18:20:42:11 0198527632 2718 2349 2673 359722
2016/02/18:21:44:16 0198527632 2718 2349 2673 367301
2016/02/18:22:41:54 0198527632 2718 2349 2673 367444
2016/02/19:07:50:10 0198527632 2718 2349 2673 387585
2016/02/19:09:36:06 0198527632 2718 2349 2673 388508
2016/02/19:11:27:27 0198527632 2718 2349 2673 393343
2016/02/19:13:04:50 0198527632 2718 2349 2673 394644
2016/02/19:15:01:44 0198527632 2718 2349 2673 394644
2016/02/19:16:51:33 0198527632 2718 2349 2673 396487
2016/02/19:17:24:03 0198527632 2718 2349 2673 400258
2016/02/19:17:40:29 0198527632 2718 2349 2673 400258
2016/02/19:19:29:56 0198527632 2718 2349 2673 400257
2016/02/19:20:27:00 0198527632 2718 2349 2673 400344
2016/02/19:22:12:35 0198527632 2718 2349 2673 406528
2016/02/20:02:01:11 0198527632 2718 2349 2673 410592
2016/02/20:06:08:45 0198527632 2718 2349 2707 421195
2016/02/20:09:17:25 0198527632 2718 2349 2705 426773
2016/02/20:10:34:48 0198527632 2718 2349 2704 427103
2016/02/20:11:14:06 0198527632 2718 2349 2703 428140
2016/02/20:12:07:13 0198527632 2718 2349 2703 428140
2016/02/20:13:05:14 0198527632 2718 2349 2703 428250
2016/02/20:14:26:45 0198527632 2718 2349 2703 429064
2016/02/20:15:37:45 0198527632 2718 2349 2701 430643
2016/02/20:16:52:05 0198527632 2718 2349 2701 430671
2016/02/20:18:47:02 0198527632 2718 2349 2699 433527
2016/02/20:19:38:37 0198527632 2718 2349 2699 433465
2016/02/20:21:19:36 0198527632 2718 2349 2698 438356
2016/02/20:21:43:11 0198527632 2718 2349 2698 438356
2016/02/21:02:24:10 0198527632 2718 2349 2696 445021
2016/02/21:09:44:45 0198527632 2718 2349 2693 451847
2016/02/21:10:51:57 0198527632 2718 2349 2693 451847
2016/02/21:11:42:57 0198527632 2718 2349 2691 451148
2016/02/21:14:12:58 0198527632 2718 2349 2691 450442
2016/02/21:14:58:29 0198527632 2718 2349 2691 449950
2016/02/21:17:20:05 0198527632 2718 2349 2689 451769
2016/02/21:17:44:08 0198527632 2718 2349 2689 451769
2016/02/21:18:14:35 0198527632 2718 2349 2689 451815
2016/02/21:20:14:16 0198527632 2718 2349 2689 451252
2016/02/21:22:01:50 0198527632 2718 2349 2687 455907
2016/02/21:22:26:07 0198527632 2718 2349 2687 455907
2016/02/21:23:36:50 0198527632 2718 2349 2687 455521
2016/02/22:07:48:30 0198527632 2718 2349 2685 471973
2016/02/22:09:52:01 0198527632 2718 2349 2685 471393
2016/02/22:11:03:08 0198527632 2718 2349 2685 472921
2016/02/22:12:00:48 0198527632 2718 2349 2685 472921
2016/02/22:15:21:22 0198527632 2718 2349 2684 472038
2016/02/22:16:44:04 0198527632 2718 2349 2683 472086
2016/02/23:09:32:12 0198527632 2718 2349 2707 61575
2016/02/23:10:58:31 0198527632 2718 2349 2707 75959
2016/02/23:12:01:25 0198527632 2718 2349 2707 78340
2016/02/23:13:51:56 0198527632 2718 2349 2707 82204
2016/02/23:15:07:29 0198527632 2718 2349 2707 86971
2016/02/23:16:06:14 0198527632 2718 2349 2707 86971
2016/02/23:17:26:52 0198527632 2718 2349 2707 95568
2016/02/24:09:15:54 0198527632 2718 2349 2707 163657
2016/02/24:11:14:21 0198527632 2718 2349 2707 170720
2016/02/24:11:18:38 0198527632 2718 2349 2707 170720
2016/02/24:13:08:54 0198527632 2718 2349 2707 170874
2016/02/24:14:13:13 0198527632 2718 2349 2707 172151
2016/02/24:16:48:35 0198527632 2718 2349 2707 172365
2016/02/24:19:41:30 0198527632 2718 2349 2707 180723
2016/02/24:21:09:57 0198527632 2718 2349 2707 199898
2016/02/24:22:42:57 0198527632 2718 2349 2707 199897
2016/02/24:23:05:48 0198527632 2718 2349 2707 200845
2016/02/25:08:06:23 0198527632 2718 2349 2705 230504
2016/02/25:08:59:53 0198527632 2718 2349 2705 231032
2016/02/25:10:09:57 0198527632 2718 2349 2705 233550
2016/02/25:11:35:06 0198527632 2718 2349 2705 236510
2016/02/25:15:19:57 0198527632 2718 2349 2703 242043
2016/02/25:16:52:21 0198527632 2718 2349 2703 242044
2016/02/25:19:02:11 0198527632 2718 2349 2701 248407
2016/02/25:21:34:42 0198527632 2718 2349 2701 259710
2016/02/25:22:31:50 0198527632 2718 2349 2700 259710
2016/02/26:07:31:13 0198527632 2718 2349 2707 292330
2016/02/26:08:48:05 0198527632 2718 2349 2707 292949
2016/02/26:09:50:33 0198527632 2718 2349 2707 294257
2016/02/26:10:51:47 0198527632 2718 2349 2707 294557
2016/02/26:13:20:17 0198527632 2718 2349 2707 299412
2016/02/26:15:28:49 0198527632 2718 2349 2707 304119
2016/02/26:19:52:59 0198527632 2718 2349 2707 311982
2016/02/26:22:48:27 0198527632 2718 2349 2707 321222
2016/02/26:23:50:59 0198527632 2718 2349 2707 321221
2016/02/27:08:08:45 0198527632 2718 2349 2703 344534
2016/02/27:09:39:51 0198527632 2718 2349 2701 347873
2016/02/27:10:40:18 0198527632 2718 2349 2700 348246
2016/02/27:12:19:28 0198527632 2718 2349 2699 348901
2016/02/27:14:24:49 0198527632 2718 2349 2697 349907
2016/02/27:16:31:47 0198527632 2718 2349 2695 350704
2016/02/27:17:07:06 0198527632 2718 2349 2695 350730
2016/02/27:17:48:50 0198527632 2718 2349 2695 350730
2016/02/27:19:42:57 0198527632 2718 2349 2695 353820
2016/02/27:23:55:38 0198527632 2718 2349 2692 364801
2016/02/28:00:27:21 0198527632 2718 2349 2692 365292
2016/02/28:03:41:47 0198527632 2718 2349 2692 373756
2016/02/28:10:26:20 0198527632 2718 2349 2689 383897
2016/02/28:11:14:12 0198527632 2718 2349 2688 384307
2016/02/28:13:17:13 0198527632 2718 2349 2687 384426
2016/02/28:17:21:38 0198527632 2718 2349 2683 386831
2016/02/28:19:33:26 0198527632 2718 2349 2681 390490
2016/02/28:20:48:20 0198527632 2718 2349 2679 390685
2016/02/28:22:19:50 0198527632 2718 2349 2677 396222
2016/02/28:22:59:42 0198527632 2718 2349 2677 396426
2016/02/29:09:25:44 0198527632 2718 2349 2707 417381
2016/02/29:10:33:44 0198527632 2718 2349 2707 417779
2016/02/29:11:55:33 0198527632 2718 2349 2707 420043
2016/02/29:12:24:35 0198527632 2718 2349 2707 420043
2016/02/29:12:43:47 0198527632 2718 2349 2707 420043
2016/02/29:13:47:37 0198527632 2718 2349 2707 420132
2016/02/29:15:23:56 0198527632 2718 2349 2707 420351
2016/02/29:15:45:21 0198527632 2718 2349 2707 421648
2016/02/29:16:19:56 0198527632 2718 2349 2707 421648
2016/03/01:02:13:48 0198527632 2718 2349 2707 437636
2016/03/01:09:30:08 0198527632 2718 2349 2703 446258
2016/03/01:11:54:33 0198527632 2718 2349 2701 447221
2016/03/01:14:51:48 0198527632 2718 2349 2699 446996
2016/03/01:15:17:18 0198527632 2718 2349 2699 447229
2016/03/01:18:40:44 0198527632 2718 2349 2697 451800
2016/03/01:20:01:20 0198527632 2718 2349 2695 451863
2016/03/01:21:00:14 0198527632 2718 2349 2695 458119
2016/03/01:21:52:19 0198527632 2718 2349 2695 457930
2016/03/01:23:07:53 0198527632 2718 2349 2695 458153
2016/03/01:23:23:18 0198527632 2718 2349 2695 458153
2016/03/02:07:24:07 0198527632 2718 2349 2691 471813
2016/03/02:09:38:37 0198527632 2718 2349 2691 470764
2016/03/02:11:58:59 0198527632 2718 2349 2689 473873
2016/03/02:12:47:05 0198527632 2718 2349 2689 472906
2016/03/02:15:51:20 0198527632 2718 2349 2687 471849
2016/03/02:16:46:39 0198527632 2718 2349 2687 471900
2016/03/02:18:42:21 0198527632 2718 2349 2686 474008
2016/03/02:19:14:27 0198527632 2718 2349 2686 474044
2016/03/02:19:29:28 0198527632 2718 2349 2686 474044
2016/03/02:19:36:30 0198527632 2718 2349 2686 474044
